# source_file=cooling_tables.hpp
# selected_nH_index=80
# selected_log10_nH=0.00000000
log10_T,primordial_cooling_cgs,metal_cooling_cgs
7.68891811370849609e+00,1.90338457581733616e-23,4.41900394240451854e-24
7.70881223678588867e+00,1.94559683840007459e-23,4.38073787761405770e-24
7.72870302200317383e+00,1.98852964653364190e-23,4.34994272002649245e-24
7.74859142303466797e+00,2.03218426239548642e-23,4.32610965435795525e-24
7.76848316192626953e+00,2.07656021266906504e-23,4.30851174528428491e-24
7.78837394714355469e+00,2.12165781289873985e-23,4.29657627978829101e-24
7.80826520919799805e+00,2.16747706308451083e-23,4.28980469777787384e-24
7.82815742492675781e+00,2.21401717436547278e-23,4.28763217484489517e-24
7.84804773330688477e+00,2.26127688456417733e-23,4.28960748255156859e-24
7.86793899536132812e+00,2.30925493150317613e-23,4.29524626030208838e-24
7.88783168792724609e+00,2.35794957968847771e-23,4.30420614246358863e-24
7.90772342681884766e+00,2.40735925139827160e-23,4.31542847770126275e-24
7.92761182785034180e+00,2.45748031787239381e-23,4.32741285257338036e-24
7.94750261306762695e+00,2.50831088584467180e-23,4.34095601659421469e-24
7.96739387512207031e+00,2.55984779987148467e-23,4.35588442036461712e-24
7.98728656768798828e+00,2.61208853559793574e-23,4.37128298523453127e-24
8.00719356536865234e+00,2.66865238685717899e-23,4.39088775645108385e-24
8.02706432342529297e+00,2.73272082967997077e-23,4.41764591835618057e-24
8.04696369171142578e+00,2.79807732458880743e-23,4.44506041253442117e-24
8.06684780120849609e+00,2.86473070682582742e-23,4.47226980287730431e-24
8.08675193786621094e+00,2.93269675360913518e-23,4.50016431891637190e-24
8.10663318634033203e+00,3.00198303800342082e-23,4.52826038891672346e-24
8.12652206420898438e+00,3.07260596831551295e-23,4.55666253694830077e-24
8.14640808105468750e+00,3.14457248652137750e-23,4.58513094929591664e-24
8.16631221771240234e+00,3.21789742320603264e-23,4.61392437233648357e-24
8.18619346618652344e+00,3.29259024470034101e-23,4.64309329316793570e-24
8.20609760284423828e+00,3.36865852406899273e-23,4.67282703840752608e-24
